#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E408
#Date Time: 2017-10-14 10:35:46.065
#Trigger:Source: Channel 2Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: -6.5 V
#Channel 2: Range: 200 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.019268333333333332,7.9235535217229947,-0.65149844417642866
-0.019263333333333334,7.5987600210197277,-0.65116342106456382
-0.019258333333333332,7.2776158854929012,-0.65317355973575242
-0.019253333333333334,6.9601211151426607,-0.65350858284761715
-0.019248333333333333,6.6572238054978961,-0.65350858284761726
-0.019243333333333335,6.3725733217356115,-0.65417862907134638
-0.019238333333333333,6.1025202986788329,-0.65551872151880575
-0.019233333333333331,5.8397660059749503,-0.65518369840694146
-0.019228333333333333,5.5843104436241822,-0.65618876774253532
-0.019223333333333332,5.332504246449739,-0.65618876774253532
-0.019218333333333334,5.0733993189224131,-0.65719383707812962
-0.019213333333333332,4.8069956610422047,-0.65752886018999435
-0.019208333333333334,4.5442413683385574,-0.65786388330185896
-0.019203333333333333,4.2741883452817895,-0.65853392952558865
-0.019198333333333331,4.0077846874014584,-0.65886895263745338
-0.019193333333333333,3.7377316643449316,-0.65886895263745338
-0.019188333333333332,3.4676786412881628,-0.65886895263745382
-0.019183333333333333,3.2049243485845156,-0.65987402197304768
-0.019178333333333332,2.9458194210571902,-0.66020904508491252
-0.019173333333333334,2.6903638587063057,-0.66087909130864197
-0.019168333333333332,2.4385576615318625,-0.6612141144205067
-0.019163333333333334,2.1976995598868529,-0.66188416064423594
-0.019158333333333333,1.9677895537709471,-0.66255420686796584
-0.019153333333333331,1.7561263735372654,-0.6632242530916953
-0.019148333333333333,1.5554112888330911,-0.6632242530916953
-0.019143333333333332,1.3729430300109573,-0.66355927620356048
-0.019138333333333334,1.2123709622476175,-0.6642293224272896
-0.019133333333333332,1.0627469900135278,-0.66489936865101917
-0.019128333333333334,0.93501920883814404,-0.66523439176288379
-0.019123333333333332,0.82188888836840857,-0.66590443798661347
-0.019118333333333334,0.72700539378098006,-0.66690950732220733
-0.019113333333333333,0.64306999472278914,-0.66690950732220777
-0.019108333333333331,0.57738142154682059,-0.66690950732220766
-0.019103333333333333,0.51899157872378865,-0.66657448421034293
-0.019098333333333332,0.46790046625361104,-0.66757955354593723
-0.019093333333333334,0.43505617966564092,-0.66791457665780196
-0.019088333333333332,0.40221189307766991,-0.66891964599339626
-0.019083333333333334,0.38396506719547163,-0.66858462288153164
-0.019078333333333333,0.37301697166614023,-0.66958969221712583
-0.019073333333333334,0.3584195109603816,-0.67025973844085507
-0.019068333333333333,0.35841951096037494,-0.67092978466458486
-0.019063333333333331,0.35477014578393362,-0.67159983088831443
-0.019058333333333333,0.35477014578393362,-0.67159983088831443
-0.019053333333333332,0.36571824131325759,-0.67226987711204389
-0.019048333333333334,0.36936760648969891,-0.67293992333577346
-0.019043333333333332,0.38396506719546331,-0.67327494644763819
-0.019038333333333334,0.39856252790122193,-0.67360996955950292
-0.019033333333333333,0.41680935378343431,-0.67461503889509722
-0.019028333333333331,0.4314068144892112,-0.67428001578323249
-0.019023333333333333,0.45695237072428796,-0.67428001578323249
-0.019018333333333332,0.48614729213582758,-0.67394499267136854
-0.019013333333333333,0.50804348319446468,-0.67562010823069152
-0.019008333333333332,0.53723840460599437,-0.67562010823069152
-0.019003333333333334,0.57008269119396537,-0.67629015445442109
-0.018998333333333332,0.60657634295837681,-0.67696020067815066
-0.018993333333333334,0.64306999472277249,-0.67729522379001528
-0.018988333333333333,0.67956364648720147,-0.67830029312560969
-0.018983333333333331,0.7197066634280741,-0.67830029312561002
-0.018978333333333333,0.7634990455453492,-0.67897033934933915
-0.018973333333333332,0.8036420624862235,-0.67964038557306905
-0.018968333333333334,0.85108380977993825,-0.68031043179679829
-0.018963333333333332,0.89852555707367365,-0.67997540868493345
-0.018958333333333334,0.94961666954382717,-0.68064545490866268
-0.018953333333333332,1.0007077820140271,-0.68198554735612205
-0.018948333333333334,1.0517988944841814,-0.68265559357985128
-0.018943333333333333,1.1138381024837045,-0.68232057046798678
-0.018938333333333331,1.1685785801303492,-0.68232057046798666
-0.018933333333333333,1.2269684229533819,-0.68198554735612205
-0.018928333333333332,1.2817089006,-0.68332563980358108
-0.018923333333333334,1.3400987434230593,-0.68332563980358108
-0.018918333333333332,1.3984885862461187,-0.68399568602731065
-0.018913333333333334,1.4495796987162721,-0.68433070913917526
-0.018908333333333333,1.5006708111864722,-0.6846657322510401
